X;Y;ID_ARBOL;ALTURA_TOT;DIAMETRO;INCLINACIO;ID_ESPECIE;NOMBRE_COM;NOMBRE_CIE;TIPO_FOLLA;ESPACIO_VE;UBICACION;NOMBRE_FAM;NOMBRE_GEN;ORIGEN;COORD_X;COORD_Y
-58,477563605867445;-34,645014530543939;1;6;35;0;53;WASHINGTONIA (PALMERA WASHINGTONIA);WASHINGTONIA FILIFERA;PALMERA;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;ARECACEAS;WASHINGTONIA;EXOTICO;98.692.305.719;98.253.300.738
-58,477558703265714;-34,645046712418946;2;6;35;0;53;WASHINGTONIA (PALMERA WASHINGTONIA);WASHINGTONIA FILIFERA;PALMERA;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;ARECACEAS;WASHINGTONIA;EXOTICO;98.692.751.564;98.249.733.979
-58,477550639657302;-34,64509097392547;3;6;35;0;53;WASHINGTONIA (PALMERA WASHINGTONIA);WASHINGTONIA FILIFERA;PALMERA;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;ARECACEAS;WASHINGTONIA;EXOTICO;98.693.494.639;98.244.829.684
-58,478129291282471;-34,644567077408865;4;17;50;0;65;OMBU;PHYTOLACCA DIOICA;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;FITOLACACEAS;PHYTOLACCA;NATIVO/AUTOCTONO;98.640.439.091;98.302.938.142
-58,478121116463171;-34,644597907568169;5;17;50;0;65;OMBU;PHYTOLACCA DIOICA;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;FITOLACACEAS;PHYTOLACCA;NATIVO/AUTOCTONO;98.641.182.166;98.299.519.997
-58,478103345362804;-34,644640728043399;6;17;50;0;65;OMBU;PHYTOLACCA DIOICA;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;FITOLACACEAS;PHYTOLACCA;NATIVO/AUTOCTONO;98.642.816.930;98.294.764.318
-58,478095171509679;-34,644676876675199;7;17;50;0;65;OMBU;PHYTOLACCA DIOICA;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;FITOLACACEAS;PHYTOLACCA;NATIVO/AUTOCTONO;98.643.560.005;98.290.751.713
-58,47816488450529;-34,644169178854362;8;26;40;0;42;CATALPA;CATALPA BIGNONIOIDES;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;BIGNONIACEAS;CATALPA;EXOTICO;98.637.169.561;98.347.076.791
-58,478143728287598;-34,64419063572339;9;26;40;0;42;CATALPA;CATALPA BIGNONIOIDES;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;BIGNONIACEAS;CATALPA;EXOTICO;98.639.101.556;98.344.698.952
-58,478103259396342;-34,644175857283464;10;26;40;0;42;CATALPA;CATALPA BIGNONIOIDES;ARBOL LATIFOLIADO CADUCIFOLIO;AVELLANEDA, NICOLAS, PRES.;DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.;BIGNONIACEAS;CATALPA;EXOTICO;98.642.816.930;98.346.333.716
